Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Experimental Measures of News Personalization in Google News","Current Trends in Web Engineering","","","","10.1007/978-3-319-46963-8_8","Vittoria CozzaVan Tien HoangMarinella PetrocchiAngelo Spognardi","2016","http://link.springer.com/chapter/10.1007/978-3-319-46963-8_8","Chapter"
"Recommended for You: “You Don’t Need No Thought Control”. An Analysis of News Personalisation in Light of Article 22 GDPR","Privacy and Identity Management. Data for Better Living: AI and Privacy","","","","10.1007/978-3-030-42504-3_13","Judith Vermeulen","2020","http://link.springer.com/chapter/10.1007/978-3-030-42504-3_13","Chapter"
"Improving News Personalization Through Search Logs","Bias and Social Aspects in Search and Recommendation","","","","10.1007/978-3-030-52485-2_14","Xiao BaiB. Barla CambazogluFrancesco GulloAmin MantrachFabrizio Silvestri","2020","http://link.springer.com/chapter/10.1007/978-3-030-52485-2_14","Chapter"
"Privacy and Identity Management. Data for Better Living: AI and Privacy","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-42504-3","Dr. Michael FriedewaldMelek ÖnenProf. Dr. Eva LievensStephan KrennSamuel Fricker","2020","http://link.springer.com/book/10.1007/978-3-030-42504-3","Book"
"Handbook of Global Media Ethics","","","","","10.1007/978-3-319-32103-5","Stephen J.A. Ward","2021","http://link.springer.com/book/10.1007/978-3-319-32103-5","Book"
"Encyclopedia of Database Systems","","","","","10.1007/978-1-4614-8265-9","Ling LiuM. Tamer Özsu","2018","http://link.springer.com/referencework/10.1007/978-1-4614-8265-9","ReferenceWork"
"Partisan Differences in Opinionated News Perceptions: A Test of the Hostile Media Effect","Political Behavior","","33","3","10.1007/s11109-010-9139-4","Lauren Feldman","2011","http://link.springer.com/article/10.1007/s11109-010-9139-4","Article"
"Recommender Systems Handbook","","","","","10.1007/978-1-4899-7637-6","Francesco RicciLior RokachBracha Shapira","2015","http://link.springer.com/book/10.1007/978-1-4899-7637-6","Book"
"Recommender Systems","","","","","10.1007/978-3-319-29659-3","Charu C. Aggarwal","2016","http://link.springer.com/book/10.1007/978-3-319-29659-3","Book"
"Adaptive News Access","The Adaptive Web","","","","10.1007/978-3-540-72079-9_18","Daniel BillsusMichael J. Pazzani","2007","http://link.springer.com/chapter/10.1007/978-3-540-72079-9_18","Chapter"
"Personalized news recommendation based on articles chain building","Neural Computing and Applications","","27","5","10.1007/s00521-015-1932-x","Wanrong GuShoubin DongMingquan Chen","2016","http://link.springer.com/article/10.1007/s00521-015-1932-x","Article"
"PNS: A Personalized News Aggregator on the Web","Intelligent Interactive Systems in Knowledge-Based Environments","","","","10.1007/978-3-540-77471-6_10","Georgios PaliourasAlexandros MouzakidisVassileios MoustakasChristos Skourlas","2008","http://link.springer.com/chapter/10.1007/978-3-540-77471-6_10","Chapter"
"Personalization of Interactive News through J2EE, XML, XSLT, and SMIL in a Web-Based Multimedia Content Management System","Advances in Multimedia Information Processing — PCM 2002","","","","10.1007/3-540-36228-2_36","SoonNyean CheongK.M. AzharM. Hanmandlu","2002","http://link.springer.com/chapter/10.1007/3-540-36228-2_36","Chapter"
"PNS: Personalized Multi-source News Delivery","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/11893004_146","Georgios PaliourasMouzakidis AlexandrosChristos NtoutsisAngelos AlexopoulosChristos Skourlas","2006","http://link.springer.com/chapter/10.1007/11893004_146","Chapter"
"Personalizing News Documents Using Modified Page Rank Algorithms","Intelligent Computing, Networking, and Informatics","","","","10.1007/978-81-322-1665-0_108","S. AkhilanS. R. Balasundaram","2014","http://link.springer.com/chapter/10.1007/978-81-322-1665-0_108","Chapter"
"Automated Personalization of Internet News","Adaptive Hypermedia and Adaptive Web-Based Systems","","","","10.1007/3-540-47952-X_36","Aditya V. Sunderam","2002","http://link.springer.com/chapter/10.1007/3-540-47952-X_36","Chapter"
"Managing Media and Digital Organizations","","","","","10.1007/978-3-319-71288-8","Dr. Eli M. Noam","2019","http://link.springer.com/book/10.1007/978-3-319-71288-8","Book"
"Digital Marketplaces Unleashed","","","","","10.1007/978-3-662-49275-8","Prof. Dr. Claudia Linnhoff-PopienDr. Ralf SchneiderMichael Zaddach","2018","http://link.springer.com/book/10.1007/978-3-662-49275-8","Book"
"Adaptive personalization using social networks","Journal of the Academy of Marketing Science","","44","1","10.1007/s11747-015-0441-x","Tuck Siong ChungMichel WedelRoland T. Rust","2016","http://link.springer.com/article/10.1007/s11747-015-0441-x","Article"
"Analyzing the Interaction of Users with News Articles to Create Personalization Services","Bias and Social Aspects in Search and Recommendation","","","","10.1007/978-3-030-52485-2_15","Alessandro CeliAlejandro PiadJósval Díaz BlancoRomina Eramo","2020","http://link.springer.com/chapter/10.1007/978-3-030-52485-2_15","Chapter"
"A Multimedia, Multichannel, and Personalized News Provider","Interactive Multimedia on Next Generation Networks","","","","10.1007/978-3-540-40012-7_32","M. DelatoA. MartelliM. MartelliV. MascardiA. Verri","2003","http://link.springer.com/chapter/10.1007/978-3-540-40012-7_32","Chapter"
"Quality Education","Encyclopedia of the UN Sustainable Development Goals","","","","10.1007/978-3-319-95870-5","Walter Leal FilhoAnabela Marisa AzulLuciana BrandliPinar Gökçin ÖzuyarTony Wall","2020","http://link.springer.com/referencework/10.1007/978-3-319-95870-5","ReferenceWork"
"Disinformation in Open Online Media","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87031-7","Dr. Jonathan BrightAnastasia GiachanouViktoria SpaiserFrancesca SpezzanoAnna GeorgeAlexandra Pavliuc","2021","http://link.springer.com/book/10.1007/978-3-030-87031-7","Book"
