,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,b'2022-06-26T08:19:56.231Z,2022-06-26T08:19:55.521Z,nu.web,page_view,article,6208672,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Harkema,NL,FR,Friesland,Europe/Amsterdam,9281,https://www.nu.nl/,Epstein-handlanger Ghislaine Maxwell onder zelfmoordtoezicht geplaatst in cel | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/buitenland/6208672/epstein-handlanger-ghislaine-maxwell-onder-zelfmoordtoezicht-geplaatst-in-cel.html,web,internal,"""""",www.nu.nl,null,ae02830b1efc8ed33b434fba83e7cb1e,"""""","""""",1ea36e0e8841c3ca53b94513ba88ceaf,2af6861051f3e9a9fd940de56d10668d\n',,
1,b'2022-06-26T12:45:04.090Z,2022-06-26T12:45:03.577Z,nu.web,page_view,article,6208684,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Rotterdam,NL,ZH,South Holland,Europe/Amsterdam,3012,https://t.co/,Zeker zeventien doden bij \'bizar incident\' in Zuid-Afrikaanse kroeg | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/buitenland/6208684/zeker-zeventien-doden-bij-bizar-incident-in-zuid-afrikaanse-kroeg.html,web,social,Twitter,t.co,null,d9aecc139f4e347444acb4f0866d788d,"""""","""""",ceeb1e2c3ac2906766369cd6e8ae4aa9,44d87a9f99a4b481e097e33487896927\n',,
2,b'2022-06-26T08:20:01.175Z,2022-06-26T08:20:01.124Z,nu.web,page_view,article,6208671,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Amsterdam,NL,NH,North Holland,Europe/Amsterdam,1019,https://www.nu.nl/,Zeer zeldzame bevroren babymammoet ontdekt in Canada | Wetenschap | NU.nl,www.nu.nl,/wetenschap/6208671/zeer-zeldzame-bevroren-babymammoet-ontdekt-in-canada.html,web,internal,"""""",www.nu.nl,"""""",090c5307c727ea41be8da3014b1e0455,"""""","""""",1b6ec0d295b467519216d4163770f357,7a7c83d618899d94a1a7abb914a65ce2\n',,
3,b'2022-06-26T14:50:17.734Z,2022-06-26T14:50:17.497Z,nu.web,page_view,article,6208677,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Bern,CH,BE,Bern,Europe/Zurich,3001,https://www.nu.nl/buitenland,"""Kyiv onder vuur genomen met kruisraketten"," zeker zes gewonden en een dode | NU - Het laatste nieuws het eerst op NU.nl""",www.nu.nl,/spanningen-oekraine/6208677/kyiv-onder-vuur-genomen-met-kruisraketten-zeker-zes-gewonden-en-een-dode.html,web,internal,"""""",www.nu.nl,null,e7c3600a73792a6a27d420d8b4937604,"""""","""""",6d60f835e0a934851d02a651c926be25,002685cfc924bdf8e803d3dfbf373281\n',
4,b'2022-06-26T09:13:44.638Z,2022-06-26T09:13:44.493Z,nu.web,page_view,article,6208684,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Rotterdam,NL,ZH,South Holland,Europe/Amsterdam,3033,https://www.nu.nl/,Zeker zeventien doden bij \'bizar incident\' in Zuid-Afrikaanse kroeg | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/buitenland/6208684/zeker-zeventien-doden-bij-bizar-incident-in-zuid-afrikaanse-kroeg.html,web,internal,"""""",www.nu.nl,null,null,"""""","""""",ed5ed8e5c11aa6dd17cf0cdf72d78ab6,e8a05b2fa4fbdf4299534011e943ecb3\n',,
5,b'2022-06-26T18:09:38.212Z,2022-06-26T18:09:36.802Z,nu.web,page_view,article,6208676,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Urk,NL,FL,Flevoland,Europe/Amsterdam,8321,"""""",Prinses Alexia viert zeventiende verjaardag,www.nu.nl,/components/comments/article/6208676,web,"""""","""""","""""",null,85fc5bfd6423e2067b39d1419e17af36,"""""","""""",1ad5f82fb2a4ffe60ea481f6307a4bbc,934fa183e88d0ba0370eae253f485654\n',,
6,b'2022-06-26T08:19:57.817Z,2022-06-26T08:19:56.346Z,nu.web,page_view,article,6208671,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Amsterdam,NL,NH,North Holland,Europe/Amsterdam,1052,"""""",Zeer zeldzame bevroren babymammoet ontdekt in Canada | Wetenschap | NU.nl,www.nu.nl,/wetenschap/6208671/zeer-zeldzame-bevroren-babymammoet-ontdekt-in-canada.html,web,"""""","""""","""""","""""",90a8b2c5d47afe9c489e1e2562280e73,"""""","""""",8a7a32974506105e03eee94e35deee26,430910867d680d1691a709502949e3f9\n',,
7,b'2022-06-26T12:50:13.787Z,2022-06-26T12:50:14.126Z,nu.web,page_view,article,6208678,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Sneek,NL,FR,Friesland,Europe/Amsterdam,8605,https://news.google.com/,"""VK", VS," Japan en Canada kondigen importverbod aan op Russisch goud | NU - Het laatste nieuws het eerst op NU.nl""",www.nu.nl,/economie/6208678/vk-vs-japan-en-canada-kondigen-importverbod-aan-op-russisch-goud.html,web,search,Google News,news.google.com,null,36ea001ba3c203053c9aa396173e0ccb,"""""","""""",bc0889de2411c2a08a44c064838cdaeb,4b21431b073bb1bc3a3a0b1c4c5491ca\n'
8,b'2022-06-26T11:45:10.361Z,2022-06-26T11:45:10.340Z,nu.web,page_view,article,6208677,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Utrecht,NL,UT,Utrecht,Europe/Amsterdam,3555,https://www.nu.nl/,"""Kyiv onder vuur genomen met kruisraketten"," zeker vijf gewonden | NU - Het laatste nieuws het eerst op NU.nl""",www.nu.nl,/spanningen-oekraine/6208677/kyiv-onder-vuur-genomen-met-kruisraketten-zeker-vijf-gewonden.html,web,internal,"""""",www.nu.nl,null,null,"""""","""""",0c4812b6753796efc2093904077448c8,c323644cb03efcb3ddf211e4db90daaf\n',
9,b'2022-06-26T01:14:52.099Z,2022-06-26T01:14:51.999Z,nu.web,page_view,article,6208623,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Geilenkirchen,DE,NW,North Rhine-Westphalia,Europe/Berlin,52511,https://www.nu.nl/,Op non-actief gezette Limburgse pastoor keert niet terug na nieuwe meldingen | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/binnenland/6208623/op-non-actief-gezette-limburgse-pastoor-keert-niet-terug-na-nieuwe-meldingen.html,web,internal,"""""",www.nu.nl,null,2ea0d0a68ce0552cb04475ebd10b6a2c,"""""","""""",804adb602f0dfc098a822a765817ca79,d6c1f3ea1e9e8f9ae4a6c24283b2c3a7\n',,
10,b'2022-06-26T08:49:32.183Z,2022-06-26T08:49:33.411Z,nu.web,page_view,article,6208676,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Bedum,NL,GR,Groningen,Europe/Amsterdam,9781,https://www.nu.nl/,Prinses Alexia viert zeventiende verjaardag | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/koningshuis/6208676/prinses-alexia-viert-zeventiende-verjaardag.html,web,internal,"""""",www.nu.nl,null,b7fcf097a8cd6f354ff66956b944d698,"""""","""""",993fc8693ff63b6d7dec96f1a1aa5052,5b13614244506560f3888598abba9536\n',,
11,b'2022-06-26T11:44:53.372Z,2022-06-26T11:44:53.338Z,nu.web,page_view,article,6208490,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,The Hague,NL,ZH,South Holland,Europe/Amsterdam,2513,https://www.nu.nl/,Waarschijnlijk krijgen meeste mensen op fraudelijst van fiscus geen compensatie | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/politiek/6208490/waarschijnlijk-krijgen-meeste-mensen-op-fraudelijst-van-fiscus-geen-compensatie.html,web,internal,"""""",www.nu.nl,null,null,"""""","""""",51a418dd581a9ec36fc2dd648853b1d9,3f472e9ff2cb99718a247dd69ab2e96c\n',,
12,b'2022-06-26T08:19:57.777Z,2022-06-26T08:19:57.695Z,nu.web,page_view,article,6207115,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,The Hague,NL,ZH,South Holland,Europe/Amsterdam,2513,android-app://com.google.android.googlequicksearchbox/,Fouten ontdekt in energienota\'s bij teruglevering zonnepanelen | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/wonen/6207115/fouten-ontdekt-in-energienotas-bij-teruglevering-zonnepanelen.html,web,unknown,"""""",com.google.android.googlequicksearchbox,null,723ba42d9ce07487ab76bb33ce10253a,"""""","""""",fe2671c5a8fc523bbf9bb38ba4102c45,08f71031398dc4d2a0765867830c8f4f\n',,
